timestamp_press,timestamp_release,key_code,key_char,hold_time,latency
1748795762553417,1748795762639785,'z',z,86.37,21.27
1748795763194100,1748795763279334,'/',/,85.23,554.31
1748795759052743,1748795763584287,'j',j,4531.54,-4226.59
1748795763787908,1748795763854506,'y',y,66.6,203.62
1748795764057218,1748795764105996,'g',g,48.78,202.71
1748795764141977,1748795764205646,'h',h,63.67,35.98
1748795764294237,1748795764381571,'j',j,87.33,88.59
1748795764628298,1748795764703941,'c',c,75.64,246.73
1748795764795685,1748795764865448,'s',s,69.76,91.74
1748795764978357,1748795765040912,'g',g,62.55,112.91
1748795765134300,1748795765212606,'f',f,78.31,93.39
1748795765237332,1748795765295829,'k',k,58.5,24.73
1748795765354030,1748795765463998,'c',c,109.97,58.2
1748795765479112,1748795765560231,'z',z,81.12,15.11
1748795766569178,1748795766630300,'r',r,61.12,1008.95
1748795766715425,1748795766810717,'f',f,95.29,85.12
1748795766924993,1748795767017136,';',;,92.14,114.28
1748795767131920,1748795767206508,'l',l,74.59,114.78
1748795767659808,1748795767761320,'j',j,101.51,453.3
1748795767823176,1748795767888848,'t',t,65.67,61.86
1748795768067900,1748795768148587,'e',e,80.69,179.05
1748795768156196,1748795768225728,'n',n,69.53,7.61
1748795768307022,1748795768367398,'h',h,60.38,81.29
1748795768451096,1748795768560970,'j',j,109.87,83.7
1748795769405022,1748795769503413,'c',c,98.39,844.05
1748795769628082,1748795769688281,'v',v,60.2,124.67
1748795769765138,1748795769847579,'f',f,82.44,76.86
1748795770018368,1748795770091215,'c',c,72.85,170.79
1748795770171887,1748795770254767,'k',k,82.88,80.67
1748795770293060,1748795770379718,'z',z,86.66,38.29
1748795770640944,1748795770710723,'v',v,69.78,261.23
1748795770833495,1748795770916567,'b',b,83.07,122.77
1748795771243645,1748795771278888,'h',h,35.24,327.08
1748795772716514,1748795772777519,'j',j,61.0,1437.63
1748795773088306,1748795773130940,'n',n,42.63,310.79
1748795773204141,1748795773280759,'j',j,76.62,73.2
1748795773342491,1748795773435312,'v',v,92.82,61.73
1748795773612496,1748795773692612,'?',?,80.12,177.18
1748795774446927,1748795774526797,'r',r,79.87,754.32
1748795774609947,1748795774653562,'f',f,43.62,83.15
1748795774726268,1748795774806768,'r',r,80.5,72.71
1748795774832084,1748795774898528,'j',j,66.44,25.32
1748795774917175,1748795775006315,'t',t,89.14,18.65
1748795775465163,1748795775544383,'e',e,79.22,458.85
1748795775581128,1748795775658000,'l',l,76.87,36.75
1748795775734542,1748795775835369,'b',b,100.83,76.54
1748795776012808,1748795776099033,'d',d,86.22,177.44
1748795776223113,1748795776292855,'b',b,69.74,124.08
1748795776370557,1748795776439678,'n',n,69.12,77.7
1748795776466374,1748795776541480,'t',t,75.11,26.7
1748795776549203,1748795776611886,'k',k,62.68,7.72
1748795776687620,1748795776794940,'m',m,107.32,75.73
1748795776774508,1748795776849934,'y',y,75.43,-20.43
1748795776888666,1748795776967547,'j',j,78.88,38.73
1748795776979058,1748795777075892,'t',t,96.83,11.51
1748795778393966,1748795778474788,'c',c,80.82,1318.07
1748795778476820,1748795778531136,'j',j,54.32,2.03
1748795778653975,1748795778731058,"','",",",77.08,122.84
1748795778780596,1748795778854054,'s',s,73.46,49.54
1748795778961307,1748795779015258,'n',n,53.95,107.25
1748795779086541,1748795779174727,'b',b,88.19,71.28
1748795779197695,1748795779272215,'t',t,74.52,22.97
1748795780137321,1748795780214449,'v',v,77.13,865.11
1748795780226944,1748795780281575,'j',j,54.63,12.49
1748795780755840,1748795780833879,';',;,78.04,474.27
1748795780906066,1748795780991349,'t',t,85.28,72.19
1748795781020186,1748795781076023,'n',n,55.84,28.84
1748795781231541,1748795781304932,'g',g,73.39,155.52
1748795781282837,1748795781341915,'h',h,59.08,-22.1
1748795781427361,1748795781508216,'j',j,80.86,85.45
1748795781510795,1748795781595775,'b',b,84.98,2.58
1748795781882678,1748795781953458,'p',p,70.78,286.9
1748795782215927,1748795782266998,'j',j,51.07,262.47
1748795782376715,1748795782482948,'q',q,106.23,109.72
1748795782552124,1748795782610775,'n',n,58.65,69.18
1748795782681948,1748795782762543,'b',b,80.6,71.17
1748795783586467,1748795783693344,'c',c,106.88,823.92
1748795783827889,1748795783888495,'y',y,60.61,134.55
1748795783946691,1748795784015312,'b',b,68.62,58.2
1748795784089172,1748795784169770,'v',v,80.6,73.86
1748795784557210,1748795784627212,'c',c,70.0,387.44
1748795784729716,1748795784808819,'t',t,79.1,102.5
1748795784811225,1748795784863660,'u',u,52.43,2.41
1748795784951585,1748795785021808,'j',j,70.22,87.92
1748795785118194,1748795785205090,'l',l,86.9,96.39
1748795785217305,1748795785297501,'y',y,80.2,12.21
1748795785429144,1748795785513697,'z',z,84.55,131.64
1748795784951585,1748795786405872,'j',j,1454.29,-562.11
1748795786511412,1748795786576181,'y',y,64.77,105.54
1748795786901631,1748795787016019,'d',d,114.39,325.45
1748795786984793,1748795787081638,'s',s,96.85,-31.23
1748795787295439,1748795787335618,'[',[,40.18,213.8
1748795787621259,1748795787679091,'j',j,57.83,285.64
1748795787782977,1748795787867282,'l',l,84.31,103.89
1748795788227479,1748795788282388,'b',b,54.91,360.2
1748795788340468,1748795788402997,'k',k,62.53,58.08
1748795790018257,1748795790079381,'b',b,61.12,1615.26
1748795790156385,1748795790227444,'p',p,71.06,77.0
1748795790552867,1748795790608564,'l',l,55.7,325.42
1748795790715525,1748795790803670,'j',j,88.14,106.96
1748795790807105,1748795790872801,'v',v,65.7,3.43
1748795790953280,1748795791035461,'f',f,82.18,80.48
1748795791175802,1748795791262070,'b',b,86.27,140.34
1748795791649542,1748795791715116,'c',c,65.57,387.47
1748795791835716,1748795791904562,'v',v,68.85,120.6
1748795791922756,1748795791971964,'j',j,49.21,18.19
1748795792052065,1748795792112673,'n',n,60.61,80.1
1748795792176292,1748795792246699,'h',h,70.41,63.62
1748795792265769,1748795792328775,'t',t,63.01,19.07
1748795792350709,1748795792438049,'k',k,87.34,21.93
1748795793441111,1748795793533025,'y',y,91.91,1003.06
1748795793638042,1748795793738726,'f',f,100.68,105.02
1748795793990880,1748795794043135,'v',v,52.26,252.15
1748795794152898,1748795794227926,'b',b,75.03,109.76
1748795794449829,1748795794523438,'h',h,73.61,221.9
1748795794780286,1748795794872901,'i',i,92.61,256.85
1748795794947242,1748795795023105,'b',b,75.86,74.34
1748795795032997,1748795795097176,'h',h,64.18,9.89
1748795795176297,1748795795271180,'j',j,94.88,79.12
1748795795363562,1748795795434832,'r',r,71.27,92.38
1748795795467748,1748795795547568,'j',j,79.82,32.92
1748795797011933,1748795797080718,'h',h,68.79,1464.36
1748795797090319,1748795797178345,'f',f,88.03,9.6
1748795797273077,1748795797368310,'c',c,95.23,94.73
1748795797544518,1748795797620566,'r',r,76.05,176.21
1748795797705737,1748795797786229,'h',h,80.49,85.17
1748795797855867,1748795797938969,'s',s,83.1,69.64
1748795798073280,1748795798143180,'n',n,69.9,134.31
1748795798161337,1748795798233991,'s',s,72.65,18.16
1748795798427116,1748795798500811,'v',v,73.69,193.13
1748795798596456,1748795798682922,'b',b,86.47,95.64
1748795798958112,1748795799017686,'u',u,59.57,275.19
1748795799114485,1748795799200152,'k',k,85.67,96.8
1748795799221271,1748795799292392,'f',f,71.12,21.12
1748795799421118,1748795799476529,'p',p,55.41,128.73
1748795799535605,1748795799603992,'f',f,68.39,59.08
1748795799819317,1748795799893321,'v',v,74.0,215.32
1748795799962546,1748795800062932,'b',b,100.39,69.23
1748795801201989,1748795801278751,'?',?,76.76,1139.06
1748795801550063,1748795801631009,'p',p,80.95,271.31
1748795801633362,1748795801709903,'f',f,76.54,2.35
1748795801797542,1748795801873242,'v',v,75.7,87.64
1748795801966900,1748795802059147,'t',t,92.25,93.66
1748795802177666,1748795802289847,'x',x,112.18,118.52
1748795802294815,1748795802394469,'f',f,99.65,4.97
1748795802519412,1748795802619498,'z',z,100.09,124.94
1748795803078993,1748795803135564,'n',n,56.57,459.49
1748795803761336,1748795803813888,'k',k,52.55,625.77
1748795804388816,1748795804473967,'j',j,85.15,574.93
1748795804946100,1748795805023356,'?',?,77.26,472.13
1748795805964198,1748795806046188,'x',x,81.99,940.84
1748795806078502,1748795806148781,'n',n,70.28,32.31
1748795806235417,1748795806281807,'j',j,46.39,86.64
1748795806439191,1748795806508550,';',;,69.36,157.38
1748795806549334,1748795806624608,'h',h,75.27,40.78
1748795806690634,1748795806771228,'e',e,80.59,66.03
1748795806806337,1748795806882040,'u',u,75.7,35.11
1748795806903386,1748795806998769,'b',b,95.38,21.35
1748795808761431,1748795808825386,'l',l,63.95,1762.66
1748795809008581,1748795809088596,'h',h,80.01,183.2
1748795809138822,1748795809238253,'e',e,99.43,50.23
1748795809240279,1748795809308883,'u',u,68.6,2.03
1748795809360108,1748795809437068,'b',b,76.96,51.23
1748795809525507,1748795809620696,'t',t,95.19,88.44
1748795810944566,1748795811071974,'c',c,127.41,1323.87
1748795811039620,1748795811140356,'x',x,100.74,-32.35
1748795811143647,1748795811195925,'b',b,52.28,3.29
1748795811283275,1748795811360265,'n',n,76.99,87.35
1748795811362571,1748795811441259,'f',f,78.69,2.31
1748795811520437,1748795811583835,'k',k,63.4,79.18
1748795811631513,1748795811714372,'b',b,82.86,47.68
1748795813274300,1748795813364063,'j',j,89.76,1559.93
1748795813552928,1748795813628828,"','",",",75.9,188.87
1748795813688097,1748795813769086,'s',s,80.99,59.27
1748795814103059,1748795814180647,'l',l,77.59,333.97
1748795814232459,1748795814306856,'t',t,74.4,51.81
1748795814400510,1748795814456284,'y',y,55.77,93.65
1748795814523841,1748795814597351,'y',y,73.51,67.56
1748795814717408,1748795814806430,'s',s,89.02,120.06
1748795814919668,1748795814988443,'v',v,68.77,113.24
