timestamp_press,timestamp_release,key_code,key_char,hold_time,latency
1748765580260367,1748765580345832,'т',т,85.47,103.33
1748765580412589,1748765580495625,'о',о,83.04,66.76
1748765580563485,1748765580656197,'р',р,92.71,67.86
1748765580682238,1748765580821925,'ы',ы,139.69,26.04
1748765580824653,1748765580912192,'е',е,87.54,2.73
1748765581130821,1748765581220231,'я',я,89.41,218.63
1748765582126715,1748765582238997,'е',е,112.28,906.48
1748765582394230,1748765582529995,'м',м,135.77,155.23
1748765582552244,1748765582653382,'у',у,101.14,22.25
1748765584505248,1748765584587631,'б',б,82.38,1851.87
1748765584643206,1748765584717966,'у',у,74.76,55.58
1748765584729769,1748765584812597,'д',д,82.83,11.8
1748765584821540,1748765584924043,'у',у,102.5,8.94
1748765585098168,1748765585162496,'в',в,64.33,174.12
1748765585262837,1748765585347535,'в',в,84.7,100.34
1748765585657327,1748765585719994,'о',о,62.67,309.79
1748765585852202,1748765585956423,'д',д,104.22,132.21
1748765586026770,1748765586124203,'и',и,97.43,70.35
1748765586113157,1748765586199093,'т',т,85.94,-11.05
1748765586270601,1748765586379463,'ь',ь,108.86,71.51
1748765587381703,1748765587462043,'с',с,80.34,1002.24
1748765587624379,1748765587739586,'ч',ч,115.21,162.34
1748765587776672,1748765587815895,'е',е,39.22,37.09
1748765587949223,1748765588023579,'м',м,74.36,133.33
1748765588202611,1748765588285169,'т',т,82.56,179.03
1748765588304247,1748765588401970,'ы',ы,97.72,19.08
1748765588553256,1748765588608726,'п',п,55.47,151.29
1748765588628405,1748765588714524,'о',о,86.12,19.68
1748765588779762,1748765588877747,'т',т,97.98,65.24
1748765588955400,1748765589061035,'о',о,105.63,77.65
1748765589063520,1748765589133621,'м',м,70.1,2.49
1748765590421488,1748765590502947,'б',б,81.46,1287.87
1748765590545586,1748765590622546,'у',у,76.96,42.64
1748765590606134,1748765590721591,'д',д,115.46,-16.41
1748765590859515,1748765590933313,'ш',ш,73.8,137.92
1748765591343119,1748765591435951,'е',е,92.83,409.81
1748765591439535,1748765591524239,'ш',ш,84.7,3.58
1748765591638772,1748765591738675,'ь',ь,99.9,114.53
1748765592309255,1748765592381918,'с',с,72.66,570.58
1748765592468246,1748765592532706,'р',р,64.46,86.33
1748765592547990,1748765592627960,'а',а,79.97,15.28
1748765592926145,1748765593052145,'н',н,126.0,298.18
1748765593241310,1748765593327111,'и',и,85.8,189.16
1748765593490804,1748765593689225,'в',в,198.42,163.69
1748765593690447,1748765593811600,'а',а,121.15,1.22
1748765593875124,1748765593899200,'ь',ь,24.08,63.52
1748765594477440,1748765594581406,'т',т,103.97,578.24
1748765594601492,1748765594711180,'ь',ь,109.69,20.09
1748765634094558,1748765634190053,'т',т,95.49,39383.38
1748765634237601,1748765634320726,'а',а,83.12,47.55
1748765634417905,1748765634488851,'м',м,70.95,97.18
1748765634722302,1748765634780965,'п',п,58.66,233.45
1748765634896512,1748765634977359,'е',е,80.85,115.55
1748765634997791,1748765635065195,'р',р,67.4,20.43
1748765635253199,1748765635403601,'в',в,150.4,188.0
1748765635308756,1748765635517425,'ы',ы,208.67,-94.85
